kepid,mass,radius,teff,bp_rp,rrmscdpp04p5
10025001,1.038,1.3280615,5661,0.89119816,118.641
10025101,0.819,0.6808811,5326.3335,1.0130405,172.842
10025122,0.551,0.5994525,4355.1626,1.586997,138.437
10025195,0.901,1.0344445,5123,1.0551643,99.892
10025276,1.069,1.3372283,5793.5,0.83918,149.791
10028921,0.996,1.3907942,5405,0.90640736,107.172
10028976,0.952,1.0780725,5402.6665,0.94657516,161.349
10028987,1.021,1.1297184,5422,0.9272394,192.053
10029078,0.941,0.87462354,5176.702,1.0637188,197.67
10029112,1.022,1.2710048,5113.293,1.0355282,235.378
10029121,1.241,1.4197254,5817.3335,0.8238869,205.545
10029141,1.115,1.1795142,5116.3335,1.0512342,249.919
10034845,0.771,1.0088602,4968.5,1.1257105,244.201
10034864,0.631,0.5672204,4478,1.5106688,90.882
10035155,1.482,2.0595155,6753.54,0.6000366,503.062
10058021,0.716,0.69412273,4479,1.5677528,154.013
10058035,0.804,0.62914956,4982.6665,1.3312941,233.799
10058115,1.186,1.5768265,6322,0.6912308,25.136
10058234,0.887,0.9329451,5430.75,0.9379616,110.818
10058243,0.903,0.82800174,5440,0.92734337,135.048
10065366,0.829,0.6919841,4920.5547,1.280549,203.528
10065413,0.973,1.4456111,5659.7427,0.8829422,68.21
10065425,0.977,1.0536431,5601,0.89305496,175.667
10065429,0.973,1.0013682,5469.5,0.8993645,97.317
10065437,0.977,1.0403534,5306.8,1.0054798,119.559
10065464,1.03,1.0944117,5538.185,0.855896,58.205
10065475,0.861,0.82362634,4955.4697,1.1438093,127.511
10065521,0.989,0.9911718,5407,0.94467735,145.278
10065550,1.067,1.117331,5601,0.87367916,131.467
10065568,1.396,1.0726107,6516.75,0.7300215,56.735
10069380,0.906,1.1864442,5476,0.88618946,36.718
10069388,0.947,1.1648493,5339.5,0.9658203,186.189
10069421,1.049,1.0459818,5475.3335,0.89735985,80.119
10069424,0.778,0.75852656,4892,1.1969271,114.404
10069546,1.192,1.1733932,6358.5,0.6829138,42.749
10069584,0.8,0.6415599,5017,1.276434,198.587
10069739,1.04,1.0302312,5389,0.96305656,208.079
10079075,0.889,0.9101066,5275.5,0.9987488,140.741
10079113,0.997,0.90255415,5419.25,0.94926834,174.202
10079118,1.053,1.0783293,5688.3335,0.8718443,106.42
10079154,0.809,0.7316651,4898,1.2075958,215.473
10079157,0.939,1.3266692,5537.5303,0.8967676,144.717
10079206,0.757,1.1661247,5312.3335,1.0206051,59.207
10079245,0.996,1.2858002,5948,0.7695732,77.089
10079258,0.755,0.6321884,4948.3335,1.3448,188.877
10082925,0.76,0.83128864,4949.23,1.320837,158.308
10082950,1.213,1.4784003,5882.3335,0.76348305,69.215
10082977,1.065,0.9770234,5431,0.92906666,128.225
10083026,1.197,1.7426922,6408.5195,0.6715746,73.081
10083074,1.188,1.29705,5774.3335,0.8584442,130.821
10089024,0.969,1.0958602,6071.8433,0.7689924,51.275
10089105,0.669,0.7642311,4412,1.4962492,128.399
10089114,1.253,1.2461878,5476.25,0.8960552,232.341
10089119,1.104,1.0786984,5809.1265,0.87942696,166.079
10092601,1.047,1.069775,5397,0.95105934,240.13
10092637,0.833,0.7487937,4927,1.1811523,203.142
10092693,0.959,1.0246168,5361,0.97768784,173.861
10092728,0.741,0.6913389,4817.345,1.2785892,92.82
10092784,0.997,1.6277243,5744,0.8239765,182.148
10098671,0.792,0.68354815,4991.0566,1.2561731,254.798
